Event_Id,Section,Quantity,Price,Row,Availability
107,93,6,263,GG,
107,402,4,263,D,
107,101,4,263,KK,
107,223,2,263,7,
107,402,2,263,C,
107,214,2,263,3,
107,403,2,263,C,
107,101,4,263,LL,
107,79,4,253,H,
107,225,2,240,11,
107,226,4,240,17,
107,218,6,245,4,
107,160,2,240,NN,
107,94,4,240,XX,
107,229,4,240,12,
107,218,2,240,14,
107,101,4,224,LL,
107,6,2,242,K,
107,80,4,257,G,
107,215,4,244,10,
107,222,2,244,3,
107,214,2,270,4,
107,102,2,270,EE,
107,214,2,270,5,
107,237,10,270,12,
107,209,8,270,7,
107,214,2,270,8,
107,97,2,270,PP,
107,208,7,270,1,
107,105,2,270,JJ,
107,159,2,245,GG,
107,218,4,270,12,
107,150,4,245,MM,
107,102,4,245,LL,
107,215,2,270,11,
107,237,11,270,10,
107,3,10,260,H,
107,214,2,270,2,
107,214,2,270,2,
107,160,2,270,DD,
107,217,6,246,1,
107,158,2,240,FF,
107,211,2,230,10,
107,215,2,230,19,
107,94,2,248,CC,
107,94,5,248,LL,
107,98,4,274,FF,
107,215,4,274,12,
107,226,2,274,1,
107,215,4,274,8,
107,226,2,274,1,
107,215,2,274,10,
107,137,2,274,JJ,
107,215,2,274,12,
107,223,2,274,11,
107,223,5,248,10,
107,73,2,275,K,
107,132,4,249,MM,
107,100,4,249,KK,
107,162,6,265,CC,
107,161,2,250,KK,
107,94,4,250,WW,
107,161,4,253,GG,
107,7,4,258,G,
107,135,4,254,FF,
107,99,2,255,EE,
107,79,4,255,K,
107,218,2,255,14,
107,410,3,281,B,
107,136,4,281,FF,
107,214,6,281,11,
107,107,2,281,GG,
107,224,4,281,11,
107,224,4,281,6,
107,110,2,281,JJ,
107,105,2,255,CC,
107,75,2,282,F,
107,215,3,257,2,
107,215,2,239,17,
107,411,3,284,A,
107,216,6,258,4,
107,216,2,285,15,
107,3,8,274,H,
